일시,평균기온
2023-07-19,-22.385143993758998
2023-07-20,-22.39886634513364
2023-07-21,-22.41239142438343
2023-07-22,-22.425722067486703
2023-07-23,-22.438861069651853
2023-07-24,-22.451811185903445
2023-07-25,-22.464575131659885
2023-07-26,-22.477155583302807
2023-07-27,-22.489555178738254
2023-07-28,-22.501776517949814
2023-07-29,-22.513822163543786
2023-07-30,-22.525694641286513
2023-07-31,-22.537396440633998
2023-08-01,-22.54893001525389
2023-08-02,-22.560297783539994
2023-08-03,-22.571502129119345
2023-08-04,-22.58254540135203
2023-08-05,-22.5934299158238
2023-08-06,-22.60415795483162
2023-08-07,-22.614731767862214
2023-08-08,-22.625153572063752
2023-08-09,-22.635425552710746
2023-08-10,-22.645549863662264
2023-08-11,-22.65552862781356
2023-08-12,-22.66536393754121
2023-08-13,-22.675057855141837
2023-08-14,-22.68461241326456
2023-08-15,-22.69402961533718
2023-08-16,-22.703311435986286
2023-08-17,-22.712459821451294
2023-08-18,-22.72147668999253
2023-08-19,-22.73036393229348
2023-08-20,-22.739123411857197
2023-08-21,-22.74775696539709
2023-08-22,-22.75626640322202
2023-08-23,-22.7646535096159
2023-08-24,-22.77292004321183
2023-08-25,-22.78106773736085
2023-08-26,-22.789098300495397
2023-08-27,-22.797013416487538
2023-08-28,-22.804814745002034
2023-08-29,-22.812503921844364
2023-08-30,-22.820082559303707
2023-08-31,-22.827552246491024
2023-09-01,-22.834914549672263
2023-09-02,-22.842171012596776
2023-09-03,-22.84932315682102
2023-09-04,-22.856372482027595
2023-09-05,-22.863320466339722
2023-09-06,-22.87016856663115
2023-09-07,-22.876918218831666
2023-09-08,-22.88357083822816
2023-09-09,-22.890127819761407
2023-09-10,-22.896590538318552
2023-09-11,-22.902960349021402
2023-09-12,-22.909238587510572
2023-09-13,-22.915426570225545
2023-09-14,-22.921525594680713
2023-09-15,-22.927536939737433
2023-09-16,-22.933461865872193
2023-09-17,-22.939301615440904
2023-09-18,-22.945057412939406
2023-09-19,-22.95073046526022
2023-09-20,-22.956321961945623
2023-09-21,-22.961833075437056
2023-09-22,-22.967264961320982
2023-09-23,-22.972618758571187
2023-09-24,-22.9778955897876
2023-09-25,-22.98309656143169
2023-09-26,-22.988222764058467
2023-09-27,-22.993275272545148
2023-09-28,-22.998255146316552
2023-09-29,-23.00316342956724
2023-09-30,-23.008001151480457
2023-10-01,-23.01276932644394
2023-10-02,-23.01746895426262
2023-10-03,-23.022101020368257
2023-10-04,-23.02666649602608
2023-10-05,-23.03116633853843
2023-10-06,-23.0356014914455
2023-10-07,-23.03997288472318
2023-10-08,-23.04428143497805
2023-10-09,-23.04852804563958
2023-10-10,-23.05271360714956
2023-10-11,-23.056838997148827
2023-10-12,-23.060905080661268
2023-10-13,-23.064912710275216
2023-10-14,-23.06886272632222
2023-10-15,-23.072755957053243
2023-10-16,-23.076593218812338
2023-10-17,-23.080375316207824
2023-10-18,-23.084103042280987
2023-10-19,-23.087777178672376
2023-10-20,-23.091398495785704
2023-10-21,-23.094967752949376
2023-10-22,-23.09848569857572
2023-10-23,-23.1019530703179
2023-10-24,-23.10537059522461
2023-10-25,-23.108738989892508
2023-10-26,-23.112058960616483
2023-10-27,-23.115331203537743
2023-10-28,-23.118556404789796
2023-10-29,-23.121735240642312
2023-10-30,-23.12486837764293
2023-10-31,-23.127956472757013
2023-11-01,-23.131000173505416
2023-11-02,-23.134000118100253
2023-11-03,-23.136956935578716
2023-11-04,-23.139871245934977
2023-11-05,-23.14274366025019
2023-11-06,-23.145574780820624
2023-11-07,-23.148365201283955
2023-11-08,-23.15111550674374
2023-11-09,-23.153826273892108
2023-11-10,-23.156498071130674
2023-11-11,-23.15913145868973
2023-11-12,-23.16172698874571
2023-11-13,-23.16428520553698
2023-11-14,-23.166806645477955
2023-11-15,-23.16929183727156
2023-11-16,-23.171741302020116
2023-11-17,-23.17415555333458
2023-11-18,-23.176535097442255
2023-11-19,-23.178880433292942
2023-11-20,-23.18119205266355
2023-11-21,-23.18347044026122
2023-11-22,-23.185716073824953
2023-11-23,-23.187929424225786
2023-11-24,-23.190110955565533
2023-11-25,-23.192261125274094
2023-11-26,-23.194380384205367
2023-11-27,-23.19646917673179
2023-11-28,-23.19852794083751
2023-11-29,-23.20055710821024
2023-11-30,-23.202557104331746
2023-12-01,-23.20452834856709
2023-12-02,-23.206471254252556
2023-12-03,-23.20838622878231
2023-12-04,-23.210273673693834
2023-12-05,-23.212133984752125
2023-12-06,-23.213967552032667
2023-12-07,-23.21577476000323
2023-12-08,-23.217555987604495
2023-12-09,-23.21931160832949
2023-12-10,-23.221041990301927
2023-12-11,-23.222747496353378
2023-12-12,-23.224428484099363
2023-12-13,-23.22608530601433
2023-12-14,-23.227718309505562
2023-12-15,-23.229327836986027
2023-12-16,-23.230914225946176
2023-12-17,-23.232477809024704
2023-12-18,-23.2340189140783
2023-12-19,-23.235537864250404
2023-12-20,-23.237034978038945
2023-12-21,-23.23851056936314
2023-12-22,-23.239964947629307
2023-12-23,-23.241398417795757
2023-12-24,-23.242811280436726
