일시,최고기온,최저기온,일교차,강수량,평균습도,평균풍속,일조합,일사합,일조율,평균기온
1960-02-03,5.8,-1.7,7.5,,60.0,2.5,7.8,,,1.2
1960-02-04,2.6,-4.7,7.3,,56.0,3.0,7.7,,,-1.2
1960-02-05,6.5,-6.5,13.0,,71.0,1.7,6.3,,,1.3
1960-02-06,12.0,0.9,11.1,,68.0,4.4,7.8,,,6.7
1960-02-07,13.1,5.3,7.8,,75.7,1.8,4.5,,,9.2
1960-02-08,13.7,6.6,7.1,0.0,81.3,1.3,0.8,,,9.1
1960-02-09,6.9,-1.5,8.4,2.3,79.7,4.3,2.9,,,2.9
1960-02-10,0.4,-5.7,6.1,,49.0,3.2,9.6,,,-3.1
1960-02-11,-0.5,-6.1,5.6,,48.0,2.5,6.0,,,-3.3
1960-02-12,0.3,-8.6,8.9,,44.0,2.4,9.4,,,-4.1
1960-02-13,4.7,-3.7,8.4,0.7,81.3,3.4,0.6,,,0.6
1960-02-14,3.0,-3.7,6.7,,41.7,3.6,8.5,,,-0.8
1960-02-15,5.0,-5.5,10.5,,38.0,1.2,9.0,,,-1.1
1960-02-16,5.2,-6.0,11.2,,59.0,1.4,5.3,,,-0.4
1960-02-17,7.0,-2.6,9.6,0.1,61.0,2.9,3.0,,,1.8
1960-02-18,2.8,-6.0,8.8,,56.0,3.2,9.3,,,-1.3
1960-02-19,8.5,-3.6,12.1,,68.0,3.8,9.4,,,3.4
1960-02-20,6.6,-0.8,7.4,0.0,77.0,4.3,0.0,,,3.4
1960-02-21,4.5,-3.0,7.5,0.0,50.0,4.2,8.9,,,0.2
1960-02-22,5.9,-5.1,11.0,,67.0,1.7,8.6,,,0.3
1960-02-23,8.4,-4.0,12.4,,74.7,1.4,8.9,,,2.3
1960-02-24,8.4,-1.2,9.6,,75.7,0.9,2.3,,,3.7
1960-02-25,6.7,1.2,5.5,0.9,85.7,1.8,0.0,,,4.9
1960-02-26,6.8,-1.6,8.4,,68.3,1.8,0.0,,,2.1
1960-02-27,7.1,-2.3,9.4,,43.0,3.1,9.7,,,1.9
1960-02-28,9.3,-2.4,11.7,,69.7,2.9,8.6,,,3.8
1960-02-29,10.8,1.0,9.8,,70.7,1.3,4.4,,,5.0
1960-03-01,14.2,-0.4,14.6,,72.3,1.3,9.2,,,6.2
1960-03-02,11.7,0.0,11.7,,52.7,2.9,6.4,,,5.6
1960-03-03,9.1,-3.7,12.8,,54.7,1.6,9.4,,,2.4
1960-03-04,9.8,0.8,9.0,,54.3,1.8,9.1,,,4.8
1960-03-05,13.7,-0.4,14.1,2.4,74.0,2.7,5.4,,,6.2
1960-03-06,11.1,5.2,5.9,,74.3,1.2,0.9,,,8.0
1960-03-07,17.8,2.8,15.0,,57.7,1.7,9.2,,,10.1
1960-03-08,16.0,5.6,10.4,0.0,60.7,1.9,1.2,,,10.9
1960-03-09,18.1,7.2,10.9,0.1,58.3,2.2,10.1,,,11.8
1960-03-10,16.8,4.2,12.6,,66.0,2.6,9.1,,,9.4
1960-03-11,10.8,5.1,5.7,1.6,84.0,1.8,0.0,,,8.3
1960-03-12,7.8,-4.1,11.9,2.8,54.7,5.8,8.8,,,1.5
1960-03-13,3.2,-5.8,9.0,,35.7,3.7,10.1,,,-2.2
1960-03-14,6.0,-5.7,11.7,,48.0,2.1,8.7,,,0.1
1960-03-15,9.6,-1.4,11.0,,65.7,2.6,10.0,,,3.2
1960-03-16,13.4,-1.5,14.9,,57.7,1.3,10.1,,,6.0
1960-03-17,12.7,2.3,10.4,,59.3,2.6,8.8,,,6.3
1960-03-18,16.7,0.2,16.5,,61.7,1.1,7.8,,,8.0
1960-03-19,16.4,4.0,12.4,,56.3,1.3,5.3,,,10.6
1960-03-20,11.2,6.8,4.4,56.3,96.0,2.3,0.0,,,8.7
1960-03-21,9.4,2.5,6.9,0.8,60.0,4.5,0.0,,,6.5
1960-03-22,11.7,-0.1,11.8,,54.0,2.4,8.1,,,5.5
1960-03-23,9.8,2.8,7.0,0.0,79.0,1.7,0.0,,,5.3
1960-03-24,13.9,1.1,12.8,,60.7,1.7,9.4,,,7.8
1960-03-25,8.1,3.8,4.3,5.8,74.7,2.7,0.0,,,5.3
1960-03-26,8.4,2.3,6.1,,66.3,4.3,1.8,,,5.2
1960-03-27,9.4,0.1,9.3,,63.7,2.1,9.9,,,4.6
1960-03-28,16.3,3.6,12.7,,62.0,5.1,6.8,,,11.0
1960-03-29,14.4,12.8,1.6,9.4,90.3,0.8,0.0,,,13.7
1960-03-30,14.5,6.8,7.7,33.6,95.0,1.6,0.0,,,10.1
1960-03-31,9.4,2.8,6.6,0.8,64.3,4.4,6.8,,,5.8
1960-04-01,7.7,-0.2,7.9,,45.3,4.0,9.8,,,2.9
1960-04-02,10.4,-0.9,11.3,,57.3,1.6,9.8,,,4.4
1960-04-03,12.9,0.2,12.7,,68.3,3.0,10.1,,,6.9
1960-04-04,12.2,3.2,9.0,,69.3,2.8,4.2,,,6.9
1960-04-05,10.6,0.6,10.0,,57.7,3.3,9.8,,,5.3
1960-04-06,15.8,3.2,12.6,,49.7,4.1,8.3,,,8.5
1960-04-07,10.8,-0.4,11.2,,43.3,2.7,10.3,,,4.8
1960-04-08,15.0,0.2,14.8,,53.3,1.9,10.6,,,7.3
1960-04-09,20.4,2.7,17.7,1.3,46.7,1.5,8.0,,,12.2
1960-04-10,16.9,6.4,10.5,6.1,70.7,3.3,4.8,,,11.6
1960-04-11,17.1,3.9,13.2,,61.0,1.7,9.2,,,10.8
1960-04-12,22.1,9.2,12.9,,48.3,2.1,8.3,,,14.2
1960-04-13,12.2,9.0,3.2,2.3,83.0,1.8,9.0,,,10.5
1960-04-14,14.3,7.0,7.3,,76.3,3.7,1.4,,,10.0
1960-04-15,14.6,6.2,8.4,0.1,67.3,3.2,9.6,,,10.0
1960-04-16,12.7,4.7,8.0,,52.3,6.2,9.0,,,8.3
1960-04-17,13.4,2.6,10.8,,53.0,3.1,9.8,,,7.7
1960-04-18,15.1,2.2,12.9,,54.7,2.2,10.8,,,8.7
1960-04-19,15.7,4.5,11.2,,57.3,1.5,3.7,,,10.6
1960-04-20,17.1,8.1,9.0,0.8,61.7,4.2,10.6,,,11.6
1960-04-21,15.8,4.6,11.2,0.1,60.7,3.3,1.8,,,10.0
1960-04-22,18.1,9.6,8.5,0.3,57.7,3.2,9.9,,,13.0
1960-04-23,25.3,8.0,17.3,,54.3,1.7,9.9,,,15.9
1960-04-24,21.7,10.5,11.2,6.1,68.0,2.0,0.8,,,14.6
1960-04-25,22.8,12.3,10.5,1.9,76.7,2.6,10.2,,,16.3
1960-04-26,23.5,12.3,11.2,,61.7,3.2,8.0,,,17.0
1960-04-27,20.0,11.2,8.8,,57.3,3.5,0.0,,,14.4
1960-04-28,22.1,7.3,14.8,,49.3,1.9,10.8,,,13.7
1960-04-29,21.0,8.5,12.5,,53.3,2.2,10.8,,,13.5
1960-04-30,24.0,6.8,17.2,,56.7,1.9,11.1,,,15.5
1960-05-01,19.6,9.9,9.7,0.1,55.7,3.9,8.8,,,14.1
1960-05-02,26.0,6.4,19.6,,45.0,1.6,10.8,,,17.1
1960-05-03,24.9,18.2,6.7,15.5,69.0,4.0,1.1,,,22.1
1960-05-04,23.4,12.6,10.8,0.8,78.3,2.8,1.4,,,18.4
1960-05-05,20.6,10.1,10.5,,31.7,3.5,10.4,,,14.6
1960-05-06,21.0,8.9,12.1,,36.3,2.1,3.3,,,14.3
1960-05-07,21.0,11.0,10.0,,37.7,3.9,8.2,,,15.1
1960-05-08,21.9,9.1,12.8,,44.3,2.1,8.4,,,15.0
1960-05-09,16.2,11.0,5.2,,67.7,2.4,9.9,,,12.7
1960-05-10,22.0,9.5,12.5,,62.7,2.1,9.9,,,14.4
1960-05-11,22.3,9.3,13.0,0.0,61.0,3.0,9.8,,,15.1
1960-05-12,20.5,13.1,7.4,,65.7,4.6,6.5,,,16.8
1960-05-13,16.8,12.3,4.5,41.3,85.7,4.1,0.0,,,15.3
1960-05-14,20.8,12.0,8.8,16.4,73.7,4.3,3.5,,,15.9
1960-05-15,16.4,12.6,3.8,0.1,85.0,2.1,0.0,,,14.0
1960-05-16,20.2,11.3,8.9,0.0,76.7,2.9,9.8,,,14.6
1960-05-17,19.7,10.8,8.9,20.6,79.3,2.3,0.0,,,15.4
1960-05-18,19.6,13.7,5.9,21.3,78.3,3.0,3.1,,,16.2
1960-05-19,22.4,11.3,11.1,,51.3,2.0,10.6,,,16.3
1960-05-20,20.7,10.8,9.9,,61.7,2.9,11.9,,,14.8
1960-05-21,21.4,10.8,10.6,,62.7,3.7,11.5,,,15.4
1960-05-22,21.7,11.2,10.5,,56.0,3.4,11.5,,,16.3
1960-05-23,24.6,11.6,13.0,,62.0,2.0,11.2,,,17.8
1960-05-24,28.5,14.0,14.5,,65.3,1.1,8.1,,,20.6
1960-05-25,30.2,15.8,14.4,,58.0,1.5,10.9,,,22.9
1960-05-26,25.6,15.0,10.6,8.1,75.0,1.7,3.1,,,20.1
1960-05-27,22.2,15.2,7.0,0.0,76.3,2.3,7.3,,,18.2
1960-05-28,18.6,14.5,4.1,10.9,85.0,1.0,0.0,,,16.0
1960-05-29,23.4,13.1,10.3,0.3,67.7,2.7,4.2,,,17.9
1960-05-30,22.3,12.8,9.5,,68.0,2.6,8.5,,,16.6
1960-05-31,24.3,11.8,12.5,,54.3,1.9,7.9,,,18.6
1960-06-01,24.4,15.2,9.2,,66.0,1.7,6.9,,,18.5
1960-06-02,23.3,15.0,8.3,0.0,72.0,1.7,4.3,,,18.0
1960-06-03,17.8,13.6,4.2,20.3,84.3,2.7,0.0,,,16.6
1960-06-04,22.4,12.7,9.7,0.7,69.0,3.5,10.5,,,17.6
1960-06-05,23.7,15.1,8.6,,68.7,3.3,9.7,,,18.2
1960-06-06,26.8,13.7,13.1,,64.0,1.3,9.5,,,20.4
1960-06-07,25.2,17.4,7.8,0.0,70.3,1.0,0.0,,,21.2
1960-06-08,29.9,17.8,12.1,,52.7,1.8,12.3,,,23.3
1960-06-09,27.6,16.6,11.0,,64.7,2.0,7.5,,,21.9
1960-06-10,24.8,17.9,6.9,8.7,75.0,2.3,0.0,,,20.4
1960-06-11,26.6,15.2,11.4,,49.3,3.6,9.9,,,20.4
1960-06-12,19.5,15.6,3.9,3.4,70.7,1.2,0.0,,,17.0
1960-06-13,19.5,14.6,4.9,34.5,89.7,1.6,0.0,,,16.9
1960-06-14,27.8,16.3,11.5,0.4,79.0,1.4,6.3,,,21.3
1960-06-15,28.5,18.8,9.7,,57.7,2.1,10.6,,,22.7
1960-06-16,27.0,15.8,11.2,,65.7,2.4,11.3,,,20.5
1960-06-17,21.3,15.3,6.0,0.0,87.0,2.3,0.0,,,18.2
1960-06-18,22.6,17.4,5.2,0.0,85.0,0.8,0.0,,,19.1
1960-06-19,26.8,16.9,9.9,,74.3,1.8,11.1,,,21.4
1960-06-20,26.4,16.7,9.7,,79.0,1.0,1.6,,,21.5
1960-06-21,31.4,19.9,11.5,,65.3,1.4,5.9,,,25.2
1960-06-22,26.2,18.6,7.6,1.0,74.3,3.7,8.2,,,21.0
1960-06-23,27.8,16.0,11.8,,64.3,1.9,12.1,,,21.2
1960-06-24,31.7,16.6,15.1,,59.3,1.8,11.1,,,23.2
1960-06-25,31.2,17.8,13.4,,61.0,0.8,7.4,,,24.6
1960-06-26,25.2,18.8,6.4,47.9,89.0,4.8,0.0,,,20.0
1960-06-27,24.4,18.0,6.4,34.8,89.7,1.5,0.0,,,21.8
1960-06-28,24.0,19.6,4.4,135.3,98.3,5.9,0.0,,,21.7
1960-06-29,22.6,19.4,3.2,5.9,98.3,2.6,0.0,,,20.7
1960-06-30,26.2,20.0,6.2,4.0,90.7,1.5,1.0,,,23.0
1960-07-01,24.2,19.5,4.7,56.8,97.7,1.1,0.0,,,21.7
1960-07-02,29.8,20.7,9.1,,86.3,1.4,6.2,,,24.8
1960-07-03,24.4,20.7,3.7,41.9,98.0,3.3,0.0,,,22.3
1960-07-04,26.4,20.4,6.0,0.6,93.7,1.9,4.0,,,22.4
1960-07-05,30.6,20.4,10.2,,86.0,1.3,6.4,,,24.4
1960-07-06,30.4,21.4,9.0,16.0,83.7,1.6,4.9,,,25.7
1960-07-07,22.3,18.9,3.4,88.9,97.3,3.7,0.0,,,20.1
1960-07-08,22.3,18.6,3.7,0.8,83.7,2.8,0.0,,,20.6
1960-07-09,27.0,18.8,8.2,,77.3,1.8,8.8,,,22.7
1960-07-10,30.2,19.5,10.7,,78.3,1.3,7.6,,,25.0
1960-07-11,30.0,21.1,8.9,0.0,84.7,1.8,4.6,,,24.2
1960-07-12,29.1,22.8,6.3,0.2,85.3,2.3,1.1,,,25.2
1960-07-13,29.0,22.8,6.2,,84.3,3.1,2.6,,,25.3
1960-07-14,24.4,22.1,2.3,7.1,92.7,1.5,0.0,,,23.6
1960-07-15,29.2,22.6,6.6,,85.0,1.3,4.4,,,25.5
1960-07-16,31.9,22.9,9.0,,77.7,1.6,7.7,,,26.9
1960-07-17,31.5,23.4,8.1,,78.0,1.9,9.9,,,26.9
1960-07-18,31.4,23.7,7.7,,76.3,1.9,8.1,,,26.9
1960-07-19,31.4,23.7,7.7,,80.0,2.0,9.1,,,26.3
1960-07-20,31.2,23.5,7.7,,73.7,2.2,5.2,,,26.1
1960-07-21,31.5,21.9,9.6,,75.7,1.9,10.5,,,25.8
1960-07-22,32.4,21.4,11.0,,75.3,1.6,8.3,,,26.0
1960-07-23,31.6,22.8,8.8,,76.7,1.5,4.6,,,26.5
1960-07-24,28.0,23.3,4.7,1.3,83.7,1.6,0.0,,,24.7
1960-07-25,24.8,21.5,3.3,52.7,91.0,1.0,0.0,,,23.3
1960-07-26,27.0,19.9,7.1,32.8,86.0,1.9,0.0,,,23.8
1960-07-27,30.5,22.6,7.9,1.4,71.3,2.9,3.1,,,26.2
1960-07-28,28.6,23.4,5.2,0.0,69.3,5.0,0.0,,,26.1
1960-07-29,32.3,25.8,6.5,2.4,79.7,2.7,9.1,,,27.9
1960-07-30,30.6,24.9,5.7,10.3,87.0,2.2,9.6,,,26.7
1960-07-31,30.5,24.3,6.2,,84.3,2.4,7.2,,,26.3
1960-08-01,29.8,24.2,5.6,0.0,82.7,2.8,7.3,,,26.4
1960-08-02,29.8,24.7,5.1,1.3,85.3,2.9,4.4,,,26.7
1960-08-03,34.3,24.6,9.7,2.7,78.7,0.9,5.9,,,28.3
1960-08-04,34.3,24.6,9.7,12.4,81.0,1.7,9.9,,,27.5
1960-08-05,34.4,24.5,9.9,2.1,76.3,1.4,7.0,,,28.5
1960-08-06,34.1,25.7,8.4,0.4,75.7,1.6,7.7,,,28.5
1960-08-07,33.6,24.7,8.9,,72.3,0.9,6.2,,,28.5
1960-08-08,34.1,24.8,9.3,,72.0,1.5,10.8,,,28.6
1960-08-09,33.7,24.0,9.7,,70.7,1.4,10.1,,,27.8
1960-08-10,33.8,24.2,9.6,,69.0,1.4,2.7,,,28.5
1960-08-11,32.9,24.3,8.6,0.0,66.0,2.3,6.0,,,27.6
1960-08-12,32.2,23.0,9.2,,67.3,1.9,6.5,,,26.9
1960-08-13,30.6,23.2,7.4,,64.7,3.1,1.1,,,26.1
1960-08-14,32.0,21.4,10.6,,58.7,2.4,6.7,,,26.4
1960-08-15,30.6,20.8,9.8,,63.0,1.9,4.3,,,25.8
1960-08-16,28.7,22.8,5.9,1.6,78.0,1.2,0.8,,,26.0
1960-08-17,33.9,23.5,10.4,,72.7,0.8,8.6,,,27.5
1960-08-18,31.1,22.7,8.4,31.0,77.0,1.6,1.8,,,26.7
1960-08-19,33.3,22.7,10.6,,68.3,1.9,8.9,,,27.6
1960-08-20,34.1,24.4,9.7,,59.7,2.5,10.1,,,28.3
1960-08-21,33.5,23.1,10.4,,60.7,3.1,10.8,,,27.6
1960-08-22,32.4,24.1,8.3,11.8,71.7,2.9,0.3,,,27.6
1960-08-23,27.1,20.9,6.2,14.5,79.0,5.2,0.0,,,24.7
1960-08-24,29.6,20.6,9.0,,75.7,1.9,8.2,,,24.4
1960-08-25,29.2,19.9,9.3,,76.7,1.3,4.1,,,24.0
1960-08-26,31.0,19.9,11.1,,68.3,1.4,10.8,,,24.6
1960-08-27,30.4,20.4,10.0,0.0,69.0,0.8,3.3,,,25.3
1960-08-28,25.0,18.0,7.0,40.7,80.3,3.1,0.0,,,20.2
1960-08-29,21.7,18.6,3.1,19.6,87.3,2.3,0.0,,,20.1
1960-08-30,26.6,17.7,8.9,0.0,83.3,1.7,5.8,,,22.0
1960-08-31,29.4,20.6,8.8,,80.0,1.4,8.7,,,24.2
1960-09-01,31.3,19.4,11.9,,78.7,1.0,6.8,,,24.9
1960-09-02,31.1,22.0,9.1,,76.3,1.4,8.4,,,25.2
1960-09-03,25.7,21.1,4.6,5.7,90.0,1.6,0.0,,,22.8
1960-09-04,23.6,19.2,4.4,0.0,87.7,1.1,0.0,,,21.2
1960-09-05,29.1,17.7,11.4,,79.3,1.2,9.4,,,22.8
1960-09-06,25.1,20.0,5.1,,86.7,1.1,1.1,,,21.9
1960-09-07,26.4,17.3,9.1,0.0,73.3,2.2,3.4,,,21.3
1960-09-08,24.3,14.5,9.8,,59.7,2.2,9.9,,,18.9
1960-09-09,26.1,15.3,10.8,,67.7,1.8,10.0,,,20.3
1960-09-10,28.6,16.5,12.1,,65.0,1.2,10.1,,,22.1
1960-09-11,29.2,15.1,14.1,,64.3,1.1,10.6,,,22.0
1960-09-12,30.2,16.7,13.5,,62.3,1.1,10.3,,,23.2
1960-09-13,30.7,17.5,13.2,19.6,74.3,1.3,7.5,,,22.5
1960-09-14,21.5,17.8,3.7,5.2,81.0,3.2,0.4,,,19.9
1960-09-15,23.8,15.2,8.6,,61.7,2.2,10.1,,,18.7
1960-09-16,25.7,12.3,13.4,,63.7,0.7,10.2,,,19.0
1960-09-17,20.8,15.4,5.4,0.0,74.0,1.3,0.0,,,18.3
1960-09-18,20.8,15.9,4.9,1.5,80.3,2.9,0.0,,,19.1
1960-09-19,27.8,16.8,11.0,,72.7,1.4,10.2,,,21.8
1960-09-20,27.9,16.2,11.7,,67.3,1.3,10.3,,,21.2
1960-09-21,27.2,14.6,12.6,,70.0,1.3,10.6,,,20.7
1960-09-22,25.3,17.6,7.7,1.4,77.7,0.9,2.8,,,21.0
1960-09-23,24.9,18.1,6.8,3.3,82.7,1.0,0.8,,,21.7
1960-09-24,25.1,19.6,5.5,0.0,84.3,1.3,0.6,,,21.8
1960-09-25,27.2,16.6,10.6,,54.3,1.7,3.7,,,21.1
1960-09-26,20.7,16.9,3.8,6.3,79.3,2.9,0.0,,,17.8
1960-09-27,22.5,17.2,5.3,13.1,81.7,3.5,0.0,,,21.0
1960-09-28,23.5,14.8,8.7,,51.3,4.3,6.1,,,18.6
1960-09-29,18.3,14.1,4.2,1.1,67.0,2.8,0.0,,,16.4
1960-09-30,18.6,14.8,3.8,6.3,91.7,2.8,0.0,,,16.1
1960-10-01,21.8,14.2,7.6,,68.7,2.0,10.7,,,17.6
1960-10-02,21.1,12.1,9.0,,55.7,3.3,4.9,,,16.0
1960-10-03,21.1,9.8,11.3,,57.7,1.5,9.6,,,14.9
1960-10-04,23.8,8.8,15.0,,63.0,0.7,9.3,,,15.8
1960-10-05,23.1,9.5,13.6,,69.3,0.9,5.2,,,15.8
1960-10-06,21.4,12.6,8.8,,52.3,4.2,9.6,,,15.8
1960-10-07,23.8,10.3,13.5,,59.3,2.3,9.1,,,16.6
1960-10-08,22.2,10.5,11.7,,63.7,1.0,10.7,,,15.9
1960-10-09,23.0,9.0,14.0,,65.7,1.0,10.6,,,15.9
1960-10-10,22.8,9.3,13.5,,68.7,1.1,9.8,,,15.8
1960-10-11,24.2,10.6,13.6,,71.3,0.6,9.1,,,16.7
1960-10-12,25.7,12.1,13.6,,60.3,1.0,10.2,,,18.7
1960-10-13,24.4,12.8,11.6,,64.0,1.0,7.8,,,18.4
1960-10-14,25.2,15.4,9.8,,63.0,1.1,4.5,,,19.3
1960-10-15,24.9,14.0,10.9,,64.7,1.5,6.7,,,19.0
1960-10-16,17.8,10.0,7.8,1.2,87.7,1.4,0.0,,,14.1
1960-10-17,17.4,8.2,9.2,,65.0,1.7,9.4,,,12.4
1960-10-18,20.3,5.4,14.9,,65.3,1.2,10.0,,,13.2
1960-10-19,22.7,8.0,14.7,,60.3,0.8,9.8,,,15.1
1960-10-20,23.1,11.8,11.3,,59.0,0.7,5.7,,,16.5
1960-10-21,22.9,10.8,12.1,,66.0,1.1,7.5,,,15.9
1960-10-22,22.4,10.1,12.3,,66.3,1.2,9.4,,,16.1
1960-10-23,22.4,9.7,12.7,,68.0,0.9,10.1,,,15.8
1960-10-24,21.2,9.8,11.4,,75.7,1.6,8.8,,,15.3
1960-10-25,14.7,7.4,7.3,,66.7,1.8,3.5,,,11.6
1960-10-26,12.0,8.5,3.5,6.7,78.3,0.6,0.0,,,9.6
1960-10-27,17.5,7.0,10.5,,63.0,1.5,5.9,,,11.0
1960-10-28,17.2,6.2,11.0,,65.0,1.3,8.1,,,11.1
1960-10-29,17.6,7.6,10.0,,71.3,0.9,3.9,,,12.6
1960-10-30,17.6,8.2,9.4,0.0,73.7,0.5,2.1,,,12.8
1960-10-31,19.2,7.3,11.9,,74.0,0.7,3.8,,,13.0
1960-11-01,17.1,7.8,9.3,5.7,59.0,2.6,7.3,,,12.7
1960-11-02,12.2,3.5,8.7,,51.0,1.8,9.4,,,7.7
1960-11-03,13.3,1.1,12.2,,61.3,1.3,7.2,,,7.6
1960-11-04,13.7,5.4,8.3,,60.3,1.7,4.0,,,8.9
1960-11-05,14.4,2.1,12.3,,59.7,1.0,8.7,,,8.0
1960-11-06,17.1,2.8,14.3,,65.7,1.1,9.0,,,9.8
1960-11-07,17.0,4.0,13.0,,75.7,1.3,5.8,,,10.7
1960-11-08,18.0,5.6,12.4,,72.7,0.8,7.8,,,12.3
1960-11-09,14.8,6.4,8.4,,74.0,1.9,1.4,,,10.6
1960-11-10,9.8,3.2,6.6,,60.3,2.1,6.3,,,6.3
1960-11-11,11.6,2.0,9.6,,61.7,1.0,2.2,,,6.6
1960-11-12,13.5,2.8,10.7,,62.0,1.3,3.6,,,7.8
1960-11-13,11.8,2.3,9.5,0.0,70.0,1.8,2.7,,,6.5
1960-11-14,10.2,1.5,8.7,,61.0,1.9,8.7,,,5.6
1960-11-15,14.1,2.9,11.2,,60.0,1.8,7.5,,,8.8
1960-11-16,14.1,4.5,9.6,,68.3,1.0,2.0,,,8.7
1960-11-17,14.9,3.4,11.5,,68.3,1.2,5.6,,,8.8
1960-11-18,13.0,2.9,10.1,0.0,79.7,1.2,0.0,,,8.8
1960-11-19,14.5,5.0,9.5,,52.3,1.9,7.8,,,9.8
1960-11-20,12.3,0.9,11.4,,53.7,1.8,0.8,,,7.8
1960-11-21,14.9,8.8,6.1,22.4,67.3,3.4,0.9,,,11.9
1960-11-22,14.7,10.3,4.4,24.8,84.7,3.0,0.0,,,12.6
1960-11-23,11.3,6.5,4.8,7.1,69.0,6.5,0.0,,,9.5
1960-11-24,10.2,6.5,3.7,8.8,95.3,3.6,0.0,,,9.1
1960-11-25,8.8,0.9,7.9,3.7,80.3,3.6,0.0,,,5.8
1960-11-26,1.1,-10.2,11.3,0.0,40.0,5.7,7.7,,,-5.6
1960-11-27,0.1,-11.2,11.3,3.0,56.7,1.6,4.8,,,-4.9
1960-11-28,3.8,-3.2,7.0,0.8,64.3,2.3,5.5,,,0.2
1960-11-29,2.2,-5.2,7.4,,65.3,1.4,4.0,,,-1.8
1960-11-30,7.9,-4.0,11.9,0.2,59.7,3.3,4.2,,,1.3
1960-12-01,-0.8,-7.3,6.5,,42.0,2.5,8.4,,,-3.2
1960-12-02,8.2,-2.2,10.4,,59.7,2.0,5.4,,,2.9
1960-12-03,9.9,0.1,9.8,,72.7,1.2,6.3,,,4.8
1960-12-04,7.6,-0.4,8.0,,81.3,1.1,0.0,,,3.3
1960-12-05,4.0,-3.0,7.0,0.0,67.3,3.5,1.0,,,0.7
1960-12-06,-1.0,-7.6,6.6,,46.3,3.2,8.3,,,-4.5
1960-12-07,1.8,-6.9,8.7,0.0,52.7,2.5,7.4,,,-2.1
1960-12-08,5.6,-6.2,11.8,,59.7,1.2,6.0,,,0.3
1960-12-09,8.0,0.4,7.6,4.8,67.0,3.8,1.4,,,4.5
1960-12-10,9.4,2.2,7.2,1.1,71.0,2.9,4.9,,,5.6
1960-12-11,11.6,0.5,11.1,4.2,75.0,2.6,0.8,,,7.0
1960-12-12,8.4,-1.7,10.1,4.2,56.7,6.5,5.0,,,2.4
1960-12-13,3.6,-4.7,8.3,0.0,58.3,1.8,0.9,,,0.3
1960-12-14,4.4,-2.9,7.3,,64.7,1.2,4.6,,,0.7
1960-12-15,2.9,-4.0,6.9,0.9,62.0,2.6,5.5,,,-0.1
