기준년월,관광객 유형,제주 대분류,제주 중분류,업종명,성별,연령대별, 카드이용금액 , 카드이용건수 ,건당이용금액,데이터기준일자
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,남,40대,6393903,99,64585,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,여,40대,6581500,102,64525,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,30대,2997900,47,63785,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,여,30대,6241880,98,63693,2017-02-16
2014-09,내국인 관광객,제주시,노형동,정장(여성),남,40대,633400,10,63340,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,여,50대,2215240,35,63293,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,농축수산품,여,20대,1825000,29,62931,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,여,50대,940400,15,62693,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,여,50대,3193800,51,62624,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),여,40대,1801000,29,62103,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,여,50대,2044650,33,61959,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,남,40대,2408500,39,61756,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),남,20대,2074300,34,61009,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,정장(여성),남,30대,789600,13,60738,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),남,20대,1031900,17,60700,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,30대,3149900,52,60575,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,남,40대,23352640,387,60343,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,여,40대,1206000,20,60300,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,남,30대,13072600,217,60242,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,여,50대,4315500,73,59116,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,남,40대,10446260,178,58687,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),남,40대,988400,17,58141,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,스포츠레져용품,남,30대,869200,15,57947,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,정장(여성),여,20대,2755000,49,56224,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,여,40대,18385930,328,56055,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,여,50대,672000,12,56000,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,여,30대,1286500,23,55935,2017-02-16
2014-09,내국인 관광객,제주시,연동,농축수산품,여,30대,2289000,41,55829,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,여,30대,1604400,29,55324,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,남,30대,19395180,353,54944,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,남,30대,1977400,36,54928,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,여,30대,5859700,107,54764,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),여,20대,4018800,74,54308,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,스포츠레져용품,남,30대,644700,12,53725,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,여,30대,1394400,26,53631,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,안경,남,30대,535000,10,53500,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,남,30대,6097330,114,53485,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,남,20대,840500,16,52531,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,여,30대,22811390,435,52440,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,여,40대,8366370,160,52290,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,남,40대,3032000,58,52276,2017-02-16
2014-09,내국인 관광객,제주시,연동,정장(여성),남,50대,520800,10,52080,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,남,40대,2783400,54,51544,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,30대,768100,15,51207,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,정장(여성),여,40대,553000,11,50273,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,50대,14461850,288,50215,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,여,20대,1040300,21,49538,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,남,50대,2813500,57,49360,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,남,30대,3907200,80,48840,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,여,30대,12859100,265,48525,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,남,50대,1902000,40,47550,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,여,40대,1845500,39,47321,2017-02-16
2014-09,내국인 관광객,제주시,노형동,안경,여,30대,757000,16,47313,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,안경,남,30대,516000,11,46909,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,남,40대,1989800,43,46274,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,의원,남,20대,1156400,25,46256,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,정장(여성),여,20대,2445000,54,45278,2017-02-16
2014-09,내국인 관광객,제주시,연동,신   발,여,20대,856900,19,45100,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,안경,여,20대,1168000,26,44923,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,여,40대,935840,21,44564,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,여,50대,843500,19,44395,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,여,30대,4333510,98,44219,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,남,30대,4941300,112,44119,2017-02-16
2014-09,내국인 관광객,제주시,연동,신   발,여,30대,520800,12,43400,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,여,40대,1732260,40,43307,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,남,20대,1422700,33,43112,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,스포츠레져용품,여,20대,1508000,35,43086,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,50대,1109100,26,42658,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기념품 점,여,40대,894500,21,42595,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,여,20대,4620700,109,42392,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,정장(여성),여,30대,1214100,29,41866,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,농축수산품,남,20대,622300,15,41487,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,남,30대,3640500,88,41369,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,농축수산품,남,20대,1805000,44,41023,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,여,20대,7829350,195,40151,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,악세 사리,여,30대,1566000,40,39150,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,악세 사리,여,30대,1017900,26,39150,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,남,20대,1983010,51,38883,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,농축수산품,여,20대,1162600,30,38753,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,남,30대,384400,10,38440,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,남,50대,23984500,624,38437,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,50대,651000,17,38294,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,여,40대,1208600,32,37769,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,여,50대,17599500,477,36896,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,여,30대,7411950,204,36333,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기념품 점,남,40대,1990300,55,36187,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,40대,16837800,471,35749,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,농축수산품,남,20대,3251140,94,34587,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,스포츠레져용품,남,40대,413600,12,34467,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,여,30대,2512600,73,34419,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,여,40대,1606500,47,34181,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,남,50대,951570,28,33985,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,여,20대,338400,10,33840,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기념품 점,여,20대,2064200,61,33839,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,의원,남,50대,1588900,47,33806,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,농축수산품,여,20대,1760400,53,33215,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,남,20대,330800,10,33080,2017-02-16
2014-09,내국인 관광객,제주시,연동,안경,여,20대,890000,27,32963,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,여,40대,3160741,97,32585,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,악세 사리,여,20대,1365500,42,32512,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,스포츠레져용품,남,40대,389000,12,32417,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,여,30대,2236000,69,32406,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,스포츠레져용품,남,40대,485700,15,32380,2017-02-16
2014-09,내국인 관광객,제주시,노형동,정장(여성),여,20대,548800,17,32282,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,여,40대,20607000,642,32098,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,스포츠레져용품,여,50대,449000,14,32071,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,의원,여,40대,445700,14,31836,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,남,40대,29207200,924,31610,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,악세 사리,남,30대,472000,15,31467,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스포츠레져용품,남,40대,435000,14,31071,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,30대,28828070,931,30965,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,남,50대,1719800,57,30172,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,여,50대,1565300,52,30102,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,여,20대,2708950,90,30099,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,남,50대,1283630,43,29852,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,여,20대,2263000,76,29776,2017-02-16
2014-09,내국인 관광객,제주시,연동,악세 사리,여,40대,443700,15,29580,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기타음료식품,남,50대,1152300,39,29546,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,50대,13259510,450,29466,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,안경,여,30대,294000,10,29400,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,남,50대,2178700,76,28667,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,남,40대,25274710,888,28463,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,기타음료식품,남,50대,280700,10,28070,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,남,30대,32789600,1169,28049,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,약국,남,40대,558200,20,27910,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,의원,여,30대,3062780,111,27593,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,여,30대,39275901,1431,27446,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,남,40대,1070090,39,27438,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,의원,여,30대,321900,12,26825,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기념품 점,여,30대,1206300,45,26807,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,여,40대,1124370,42,26771,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,의원,남,30대,2622900,98,26764,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기념품 점,남,30대,1485300,56,26523,2017-02-16
2014-09,내국인 관광객,제주시,연동,기념품 점,남,20대,1220000,46,26522,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,슈퍼 마켓,남,50대,1334020,51,26157,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,남,20대,9902500,379,26128,2017-02-16
2014-09,내국인 관광객,제주시,노형동,농축수산품,남,20대,365000,14,26071,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기타음료식품,여,40대,906300,35,25894,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스넥,남,50대,614000,24,25583,2017-02-16
2014-09,내국인 관광객,제주시,노형동,슈퍼 마켓,여,50대,6392730,252,25368,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,기념품 점,여,20대,21303000,847,25151,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,슈퍼 마켓,여,50대,3692100,148,24947,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,농축수산품,여,20대,646200,26,24854,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,여,50대,1563700,63,24821,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,스넥,남,50대,2093900,85,24634,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,악세 사리,남,20대,319000,13,24538,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,스넥,남,50대,1896310,78,24312,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,슈퍼 마켓,여,30대,17912220,755,23725,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,남,40대,7730500,326,23713,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,기타음료식품,남,40대,923500,39,23679,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,기타음료식품,여,30대,755700,32,23616,2017-02-16
2014-09,내국인 관광객,제주시,노형동,슈퍼 마켓,남,50대,11262980,478,23563,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스넥,남,40대,1224500,52,23548,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,여,20대,918000,39,23538,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,스넥,여,50대,1595510,68,23463,2017-02-16
2014-09,내국인 관광객,제주시,연동,슈퍼 마켓,여,50대,5975950,255,23435,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,여,30대,5277000,226,23350,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,여,50대,675870,29,23306,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,기념품 점,여,30대,230000,10,23000,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,슈퍼 마켓,여,50대,2853960,125,22832,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,남,30대,1391990,61,22820,2017-02-16
2014-09,내국인 관광객,제주시,연동,기타음료식품,남,50대,409150,18,22731,2017-02-16
2014-09,내국인 관광객,제주시,노형동,슈퍼 마켓,여,40대,10385560,458,22676,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,스넥,여,50대,271500,12,22625,2017-02-16
2014-09,내국인 관광객,제주시,노형동,의원,남,30대,4371760,194,22535,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,남,40대,966400,43,22474,2017-02-16
2014-09,내국인 관광객,제주시,연동,기타음료식품,여,40대,515700,23,22422,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기타음료식품,남,50대,515300,23,22404,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,여,40대,4449600,199,22360,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,여,30대,734120,33,22246,2017-02-16
2014-09,내국인 관광객,제주시,연동,약국,여,50대,858810,39,22021,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,40대,10238660,465,22019,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기타음료식품,여,50대,547900,25,21916,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,기념품 점,남,30대,283000,13,21769,2017-02-16
2014-09,내국인 관광객,제주시,연동,슈퍼 마켓,여,40대,10834650,502,21583,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,남,30대,3190100,148,21555,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,여,30대,8454600,397,21296,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,남,20대,1172900,56,20945,2017-02-16
2014-09,내국인 관광객,서귀포시,성산읍,기념품 점,남,30대,9685200,464,20873,2017-02-16
2014-09,내국인 관광객,서귀포시,남원읍,슈퍼 마켓,남,50대,1243050,60,20718,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,약국,여,40대,268940,13,20688,2017-02-16
2014-09,내국인 관광객,제주시,연동,스넥,남,50대,1359400,66,20597,2017-02-16
2014-09,내국인 관광객,제주시,용담2동,슈퍼 마켓,남,50대,2486030,121,20546,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,기타음료식품,여,40대,2340700,114,20532,2017-02-16
2014-09,내국인 관광객,제주시,삼도2동,악세 사리,여,20대,850100,42,20240,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,스넥,남,40대,5213800,260,20053,2017-02-16
2014-09,내국인 관광객,제주시,이도2동,약국,남,50대,1624050,81,20050,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,슈퍼 마켓,여,40대,4712970,236,19970,2017-02-16
2014-09,내국인 관광객,제주시,노형동,슈퍼 마켓,여,30대,9965950,500,19932,2017-02-16
2014-09,내국인 관광객,제주시,노형동,약국,남,50대,1926130,97,19857,2017-02-16
2014-09,내국인 관광객,서귀포시,대륜동,기타음료식품,여,40대,256500,13,19731,2017-02-16
2014-09,내국인 관광객,제주시,노형동,약국,여,50대,1098900,56,19623,2017-02-16
2014-09,내국인 관광객,제주시,연동,의원,남,30대,1094860,56,19551,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,슈퍼 마켓,남,50대,4723820,243,19440,2017-02-16
2014-09,내국인 관광객,제주시,노형동,기타음료식품,여,20대,539720,28,19276,2017-02-16
2014-09,내국인 관광객,제주시,연동,슈퍼 마켓,남,50대,10042680,524,19165,2017-02-16
2014-09,내국인 관광객,제주시,애월읍,농축수산품,남,20대,456500,24,19021,2017-02-16
2014-09,내국인 관광객,서귀포시,예래동,스넥,남,40대,3286400,173,18997,2017-02-16
2014-09,내국인 관광객,제주시,노형동,슈퍼 마켓,남,40대,13962660,740,18868,2017-02-16
